"","Name","Total","Made","Percent_Made"
"1","Kevin Durant",915,495,54.0983606557377
"2","Andre Iguodala",371,192,51.7520215633423
"3","Klay Thompson",1220,575,47.1311475409836
"4","Stephen Curry",1250,584,46.72
"5","Draymond Green",578,245,42.3875432525952
